birth,location,date
1880,"Bendyn, Poland",1880.01.01
1878,"Bendyn, Poland",1878.01.01
1880,"Kosszyj, Czechoslovakia",1880.01.01
1880,"Czankowice,",1880.01.01
1883,"Czankowice,",1883.01.01
1880,"Waszkowica, Poland",1880.01.01
1880,"Zostavna, Romania",1880.01.01
1880,"Kudlovce, Czechoslovakia",1880.01.01
1864,"Kudlovce, Czechoslovakia",1864.01.01
1880,"Krecovo, Romania",1880.01.01
1898,"Klobyczk, Poland",1898.01.01
1898,"Casta, Czechoslovakia",1898.01.01
1892,"Casta, Czechoslovakia",1892.01.01
1921,"Casta, Czechoslovakia",1921.01.01
1898,"Taurik, Lithuania",1898.01.01
1898,"Nodheles, Hungary",1898.01.01
1898,"Budszentmihaly, Hungary",1898.01.01
1891,"Apsice, Czechoslovakia",1891.01.01
1891,"Gancowicz, Poland",1891.01.01
1891,"Interviso, Romania",1891.01.01
1882,"Interviso, Romania",1882.01.01
1891,"Oborin, Czechoslovakia",1891.01.01
1891,"Kemenytelek, Romania",1891.01.01
1891,"Tisalik, Czechoslovakia",1891.01.01
1870,"Pinchev, Poland",1870.01.01
1870,"Bedevla, Czechoslovakia",1870.01.01
1870,"Spink, Romania",1870.01.01
1870,"Spinka, Romania",1870.01.01
1928,"Spinka, Romania",1928.01.01
1870,"Siczel, Romania",1870.01.01
1900,"Siczel, Romania",1900.01.01
1870,"Alexandrow, Poland",1870.01.01
1937,"Bogarevica, Czechoslovakia",1937.01.01
1900,"Crulea, Romania",1900.01.01
1928,"Crulea, Romania",1928.01.01
1909,"Crulea, Romania",1909.01.01
1900,"Suka, Poland",1900.01.01
1931,"Suka, Poland",1931.01.01
1900,"Wolowa, Czechoslovakia",1900.01.01
1895,"Wolowa, Czechoslovakia",1895.01.01
1903,"Wolowa, Czechoslovakia",1903.01.01
1900,"Chernobyl, Ukraine (USSR)",1900.01.01
1900,"Amdur, Poland",1900.01.01
1905,"Amdur, Poland",1905.01.01
1900,"Csata, Czechoslovakia",1900.01.01
1900,"Felsobanie, Romania",1900.01.01
1900,"Kiltz, Poland",1900.01.01
1885,"Kiltz, Poland",1885.01.01
1859,"Kiltz, Poland",1859.01.01
1882,"Kosteletz, Czechoslovakia",1882.01.01
1882,"Syrokanla,",1882.01.01
1914,"Wolozno, Poland",1914.01.01
1914,"Intervisho, Romania",1914.01.01
1909,"Intervisho, Romania",1909.01.01
1911,"Intervisho, Romania",1911.01.01
1905,"Intervisho, Romania",1905.01.01
1907,"Intervisho, Romania",1907.01.01
1895,"Niwra, Poland",1895.01.01
1895,"Saluk, Lithuania",1895.01.01
1895,"Unter Zerekwa,",1895.01.01
1895,"Tirnawa, Czechoslovakia",1895.01.01
1895,"Tetche, Romania",1895.01.01
1895,"Selesz, Czechoslovakia",1895.01.01
1922,"Homan, Ukraine (USSR)",1922.01.01
1892,"Kliszkowicz, Romania",1892.01.01
1932,"Olalapos, Romania",1932.01.01
1935,"Olalapos, Romania",1935.01.01
1930,"Modziew, Poland",1930.01.01
1924,"Jurcauti, Romania",1924.01.01
1890,"Jedineti, Romania",1890.01.01
1890,"Danilov, Czechoslovakia",1890.01.01
1890,"Sicsel, Romania",1890.01.01
1890,"Klicanovo, Czechoslovakia",1890.01.01
1890,"Stuczyn, Poland",1890.01.01
1910,"Branek,",1910.01.01
1910,Ukraine (USSR),1910.01.01
1934,Ukraine (USSR),1934.01.01
1910,"Batorkesi, Czechoslovakia",1910.01.01
1910,"Krol, Romania",1910.01.01
1910,"Ozydov,",1910.01.01
1910,"Meidan, Czechoslovakia",1910.01.01
1910,"Stojin, Poland",1910.01.01
1885,"Stojin, Poland",1885.01.01
1928,"Keshanov, Poland",1928.01.01
1933,"Keshanov, Poland",1933.01.01
1917,"Keshanov, Poland",1917.01.01
1921,"Kshanov, Poland",1921.01.01
1931,"Kshanov, Poland",1931.01.01
1909,"Proshnitz, Poland",1909.01.01
1909,"Bojan, Romania",1909.01.01
1909,"Shebes, Czechoslovakia",1909.01.01
1909,"Keretzky, Czechoslovakia",1909.01.01
1909,"Wachtl, Czechoslovakia",1909.01.01
1909,"Ricske, Czechoslovakia",1909.01.01
1881,"Koerlin, Germany",1881.01.01
1927,"Polana Kobilecka, Czechoslovakia",1927.01.01
1872,"Polana Kobilecka, Czechoslovakia",1872.01.01
1918,"Ober Rina, Romania",1918.01.01
1918,"Michalkowitz, Czechoslovakia",1918.01.01
1908,"Michalkowitz, Czechoslovakia",1908.01.01
1894,"Novi Zamki, Czechoslovakia",1894.01.01
1894,"Soromien,",1894.01.01
1894,"Docupole, Czechoslovakia",1894.01.01
1894,"Alkis, Poland",1894.01.01
1915,"Nagy Szollos, Czechoslovakia",1915.01.01
1915,"Jedenice, Romania",1915.01.01
1915,"Mizrycz, Poland",1915.01.01
1884,"Mizrycz, Poland",1884.01.01
1915,"Piotrkovitz, Poland",1915.01.01
1915,"Yanova, Poland",1915.01.01
1935,"Sobolev, Poland",1935.01.01
1903,"Wirban,",1903.01.01
1903,"Oshorod, Czechoslovakia",1903.01.01
1926,"Kusnice, Czechoslovakia",1926.01.01
1933,"Kusnice, Czechoslovakia",1933.01.01
1936,"Kusnice, Czechoslovakia",1936.01.01
1931,"Buzan, Poland",1931.01.01
1878,"Ujbarjevo, Czechoslovakia",1878.01.01
1906,"Semisita, Poland",1906.01.01
1906,"Byczkow, Czechoslovakia",1906.01.01
1925,"Marton, Romania",1925.01.01
1885,"Selisht, Romania",1885.01.01
1885,"Wilok, Czechoslovakia",1885.01.01
1901,"Undeciphered Place, Czechoslovakia",1901.01.01
1901,"Dibova, Czechoslovakia",1901.01.01
1871,"Undeciphered Place, Greece",1871.01.01
1908,"Borzava, Czechoslovakia",1908.01.01
1845,"Borzava, Czechoslovakia",1845.01.01
1908,"Kretsheniv, Romania",1908.01.01
1908,"Mazovetsk, Poland",1908.01.01
1905,"Haromcek,",1905.01.01
1905,"Wirbalen, Lithuania",1905.01.01
1905,"Olkenik, Poland",1905.01.01
1905,"Ricze,",1905.01.01
1905,"Saray, Lithuania",1905.01.01
1905,"Sinever, Czechoslovakia",1905.01.01
1907,"Sinever, Czechoslovakia",1907.01.01
1913,"Velky Dvorany, Czechoslovakia",1913.01.01
1907,"Suchodniew, Poland",1907.01.01
1907,"Kopniowice,",1907.01.01
1883,"Kobucko, Poland",1883.01.01
1897,"Orechovice, Czechoslovakia",1897.01.01
1896,"Snitchev, Ukraine (USSR)",1896.01.01
1896,"Nieder Kurzwald,",1896.01.01
1916,"Kocseny, Czechoslovakia",1916.01.01
1916,"Ganice, Czechoslovakia",1916.01.01
1868,"Bortniki, Poland",1868.01.01
1917,"Yavarzna, Poland",1917.01.01
1884,"Wolchowice, Czechoslovakia",1884.01.01
1884,"Wiszow de Sus, Romania",1884.01.01
1888,"Gribov, Poland",1888.01.01
1888,"Khshanov, Poland",1888.01.01
1919,"Kevi, Yugoslavia",1919.01.01
1919,"Salok, Lithuania",1919.01.01
1919,"Preschow,",1919.01.01
1938,"Kusznica, Czechoslovakia",1938.01.01
1875,"Zazolince,",1875.01.01
1889,"Vulhovci, Czechoslovakia",1889.01.01
1887,"Ganitz, Czechoslovakia",1887.01.01
1886,"Rayshe, Poland",1886.01.01
1874,"Badevla, Czechoslovakia",1874.01.01
1941,"Szenas, Czechoslovakia",1941.01.01
1939,"Kaliny, Czechoslovakia",1939.01.01
